epoch,train_loss,main_loss,domain_loss,val_coeff_mse,val_T_r2,val_T_mae,val_T_rmse,teacher_forcing_ratio
1,980063.211493,980063.211493,0.000000,1044504.241833,0.267804,5.652172,6.788438,1.000000
2,833090.781642,833090.781642,0.000000,1033325.938544,0.267791,5.652273,6.788498,1.000000
3,709221.456562,709221.456562,0.000000,1023776.768086,0.267779,5.652368,6.788553,1.000000
4,599499.071503,599499.071503,0.000000,1015363.500783,0.267748,5.652874,6.788701,1.000000
5,505900.455307,505900.455307,0.000000,1008287.178252,0.267739,5.652884,6.788738,1.000000
6,426409.415081,426409.415081,0.000000,1002193.882645,0.267727,5.652962,6.788797,1.000000
7,362647.509435,362647.509435,0.000000,997845.031623,0.267726,5.652980,6.788802,1.000000
8,314801.156094,314801.156094,0.000000,994158.981578,0.267720,5.652975,6.788830,1.000000
9,273210.409606,273210.409606,0.000000,991034.355758,0.267712,5.653068,6.788864,1.000000
10,237354.282280,237354.282280,0.000000,988404.280803,0.267696,5.653161,6.788942,1.000000
11,208216.995006,208216.995006,0.000000,986256.276738,0.267697,5.653124,6.788937,1.000000
12,185836.847012,185836.847012,0.000000,984627.370786,0.267706,5.653040,6.788892,1.000000
13,163978.215729,163978.215729,0.000000,982817.670868,0.267672,5.653286,6.789053,1.000000
14,143513.299938,143513.299938,0.000000,981329.993698,0.267647,5.653471,6.789165,1.000000
15,125936.726938,125936.726938,0.000000,979935.407704,0.267644,5.653529,6.789181,1.000000
16,109941.068358,109941.068358,0.000000,978729.492243,0.267606,5.653748,6.789358,1.000000
17,96251.358021,96251.358021,0.000000,977728.239186,0.267611,5.653656,6.789334,1.000000
18,84721.154368,84721.154368,0.000000,976840.463007,0.267583,5.653806,6.789465,1.000000
19,74461.520145,74461.520145,0.000000,976108.709651,0.267566,5.653914,6.789542,1.000000
20,65981.804150,65981.804150,0.000000,975518.284010,0.267537,5.654126,6.789676,1.000000
21,59785.468500,59785.468500,0.000000,975113.972330,0.267545,5.654091,6.789638,0.950000
22,55614.427969,55614.427969,0.000000,974794.764730,0.267505,5.654287,6.789824,0.900000
23,51506.507671,51506.507671,0.000000,974444.676387,0.267540,5.654131,6.789663,0.850000
24,48151.284793,48151.284793,0.000000,974150.266035,0.267532,5.654182,6.789699,0.800000
25,44567.136215,44567.136215,0.000000,973878.446897,0.267566,5.654065,6.789544,0.750000
26,41303.426693,41303.426693,0.000000,973636.861538,0.267537,5.654168,6.789676,0.700000
27,38979.401199,38979.401199,0.000000,973412.824732,0.267538,5.654119,6.789670,0.650000
28,37002.174220,37002.174220,0.000000,973282.683435,0.267541,5.654073,6.789660,0.600000
29,34696.909080,34696.909080,0.000000,973104.968750,0.267532,5.654131,6.789702,0.550000
30,33383.347079,33383.347079,0.000000,972932.679109,0.267565,5.653902,6.789545,0.500000
31,30604.073833,30604.073833,0.000000,972840.030952,0.267558,5.653928,6.789580,0.450000
32,29463.657085,29463.657085,0.000000,972747.348076,0.267532,5.654065,6.789702,0.400000
33,28520.581543,28520.581543,0.000000,972676.063209,0.267526,5.654071,6.789729,0.350000
34,27688.524512,27688.524512,0.000000,972595.257309,0.267532,5.654040,6.789702,0.300000
35,27148.632201,27148.632201,0.000000,972547.491237,0.267539,5.654035,6.789670,0.250000
36,26359.910641,26359.910641,0.000000,972484.488813,0.267541,5.654023,6.789657,0.200000
37,25893.345280,25893.345280,0.000000,972432.805228,0.267533,5.654058,6.789694,0.150000
38,25232.031172,25232.031172,0.000000,972385.380967,0.267535,5.654060,6.789688,0.100000
39,24794.957661,24794.957661,0.000000,972324.313954,0.267530,5.654077,6.789710,0.050000
40,24554.229349,24554.229349,0.000000,972301.227141,0.267520,5.654132,6.789758,0.000000
41,24162.192713,24162.192713,0.000000,972256.913261,0.267500,5.654226,6.789847,0.000000
42,23499.172718,23499.172718,0.000000,972218.163634,0.267487,5.654299,6.789910,0.000000
43,22939.685844,22939.685844,0.000000,972170.840767,0.267483,5.654323,6.789927,0.000000
44,22685.245546,22685.245546,0.000000,972140.322979,0.267478,5.654329,6.789950,0.000000
45,22486.687798,22486.687798,0.000000,972104.070704,0.267481,5.654324,6.789937,0.000000
46,22399.665974,22399.665974,0.000000,972082.300268,0.267476,5.654357,6.789961,0.000000
47,21226.148293,21226.148293,0.000000,972028.362694,0.267458,5.654408,6.790040,0.000000
48,20861.284623,20861.284623,0.000000,971999.302058,0.267451,5.654474,6.790076,0.000000
49,20025.324307,20025.324307,0.000000,971953.869817,0.267451,5.654455,6.790076,0.000000
50,19750.658574,19750.658574,0.000000,971906.268832,0.267462,5.654429,6.790026,0.000000
51,19363.321336,19363.321336,0.000000,971872.239558,0.267457,5.654459,6.790045,0.000000
52,18922.520684,18922.520684,0.000000,971831.560747,0.267449,5.654483,6.790083,0.000000
53,18821.599663,18821.599663,0.000000,971822.733368,0.267443,5.654507,6.790111,0.000000
54,18352.814853,18352.814853,0.000000,971749.404311,0.267438,5.654534,6.790135,0.000000
55,17285.924283,17285.924283,0.000000,971741.641818,0.267434,5.654556,6.790156,0.000000
56,16935.588949,16935.588949,0.000000,971698.459800,0.267433,5.654564,6.790158,0.000000
57,16799.694451,16799.694451,0.000000,971689.148568,0.267414,5.654634,6.790248,0.000000
58,16312.668587,16312.668587,0.000000,971651.163335,0.267411,5.654613,6.790263,0.000000
59,16810.344975,16810.344975,0.000000,971693.219943,0.267407,5.654648,6.790280,0.000000
60,16209.141121,16209.141121,0.000000,971614.438209,0.267425,5.654607,6.790198,0.000000
61,15431.857724,15431.857724,0.000000,971584.299746,0.267424,5.654613,6.790202,0.000000
62,14973.338218,14973.338218,0.000000,971581.840879,0.267419,5.654637,6.790226,0.000000
63,14788.008019,14788.008019,0.000000,971559.103073,0.267424,5.654621,6.790200,0.000000
64,14169.435659,14169.435659,0.000000,971536.460882,0.267421,5.654628,6.790215,0.000000
65,13812.174810,13812.174810,0.000000,971526.920533,0.267419,5.654644,6.790224,0.000000
66,13682.630263,13682.630263,0.000000,971519.173740,0.267420,5.654648,6.790219,0.000000
67,13554.390436,13554.390436,0.000000,971511.751604,0.267415,5.654678,6.790244,0.000000
68,13256.161652,13256.161652,0.000000,971493.931944,0.267420,5.654657,6.790218,0.000000
69,12879.116306,12879.116306,0.000000,971474.896554,0.267418,5.654654,6.790226,0.000000
70,12635.580842,12635.580842,0.000000,971464.263313,0.267416,5.654672,6.790237,0.000000
71,12394.916253,12394.916253,0.000000,971447.274314,0.267417,5.654665,6.790234,0.000000
72,12118.628966,12118.628966,0.000000,971431.704803,0.267413,5.654682,6.790253,0.000000
73,12187.243671,12187.243671,0.000000,971418.150544,0.267413,5.654673,6.790250,0.000000
74,12063.919048,12063.919048,0.000000,971410.272300,0.267411,5.654688,6.790258,0.000000
75,11739.937996,11739.937996,0.000000,971392.695480,0.267412,5.654682,6.790254,0.000000
76,11718.587619,11718.587619,0.000000,971386.204654,0.267416,5.654676,6.790239,0.000000
77,11500.977161,11500.977161,0.000000,971371.618922,0.267414,5.654669,6.790245,0.000000
78,11784.254881,11784.254881,0.000000,971369.944101,0.267406,5.654717,6.790282,0.000000
79,11658.036869,11658.036869,0.000000,971357.062686,0.267411,5.654676,6.790260,0.000000
80,11551.057600,11551.057600,0.000000,971351.671353,0.267412,5.654668,6.790254,0.000000
81,11427.875038,11427.875038,0.000000,971341.256601,0.267407,5.654704,6.790281,0.000000
82,11212.054041,11212.054041,0.000000,971331.771666,0.267410,5.654682,6.790263,0.000000
83,11088.690751,11088.690751,0.000000,971331.601544,0.267408,5.654689,6.790273,0.000000
84,11064.896427,11064.896427,0.000000,971324.677655,0.267408,5.654701,6.790274,0.000000
85,10872.155578,10872.155578,0.000000,971314.900134,0.267404,5.654714,6.790295,0.000000
86,10944.544685,10944.544685,0.000000,971310.676275,0.267401,5.654727,6.790306,0.000000
87,10758.931108,10758.931108,0.000000,971303.252126,0.267401,5.654721,6.790306,0.000000
88,10720.666402,10720.666402,0.000000,971297.528565,0.267402,5.654737,6.790304,0.000000
89,10420.598436,10420.598436,0.000000,971288.321599,0.267397,5.654741,6.790325,0.000000
90,10721.349644,10721.349644,0.000000,971281.877834,0.267398,5.654751,6.790320,0.000000
91,10225.587527,10225.587527,0.000000,971276.720913,0.267398,5.654746,6.790319,0.000000
92,9937.192320,9937.192320,0.000000,971273.744779,0.267398,5.654752,6.790320,0.000000
93,9839.426821,9839.426821,0.000000,971268.898680,0.267398,5.654757,6.790319,0.000000
94,9777.266528,9777.266528,0.000000,971267.451074,0.267394,5.654772,6.790339,0.000000
95,9665.676583,9665.676583,0.000000,971261.362955,0.267395,5.654767,6.790332,0.000000
96,9687.765210,9687.765210,0.000000,971256.669190,0.267396,5.654771,6.790331,0.000000
97,9571.126116,9571.126116,0.000000,971254.660128,0.267395,5.654769,6.790337,0.000000
98,9495.643103,9495.643103,0.000000,971254.377834,0.267394,5.654767,6.790341,0.000000
99,9549.863544,9549.863544,0.000000,971249.403453,0.267393,5.654782,6.790345,0.000000
100,9383.495471,9383.495471,0.000000,971248.583868,0.267389,5.654796,6.790361,0.000000
