epoch,train_loss,val_coeff_mse,val_T_r2,val_T_mae,val_T_rmse,val_sensor_mae,val_phys_res
1,1104190.638552,1758.277062,0.998610,0.241813,0.294917,6.359390130564941,0.0004586706709884691
2,5554.986172,644.476933,0.999536,0.132023,0.170362,6.36367755651474,0.00022269068575015035
3,4008.473448,308.345927,0.999421,0.142711,0.190361,6.364077317335118,0.00022536895353735404
4,3059.486645,424.995741,0.999791,0.089951,0.114395,6.3724265694618225,0.00014654373777022502
5,2297.731566,257.124415,0.999892,0.067173,0.082351,6.352905986854686,0.00010668982109509942
6,1669.087472,331.253770,0.999841,0.080594,0.099862,6.412262394167298,0.00014357837152208198
7,1108.769201,57.736041,0.999958,0.040454,0.051049,6.360355237135247,9.900436040676249e-05
8,867.435308,23.956302,0.999976,0.028191,0.038786,6.375124530982022,9.779403137416473e-05
9,742.594101,48.357679,0.999972,0.033670,0.041932,6.339352724362368,9.095200584675668e-05
10,723.176490,28.809091,0.999977,0.029365,0.037754,6.35936472261723,9.629678294540602e-05
11,706.707706,54.437898,0.999978,0.028581,0.037344,6.3638521437028155,9.104600433368011e-05
12,680.494423,91.457987,0.999935,0.056467,0.063809,6.397130453859396,0.00011843910426399979
13,644.950648,8.461124,0.999994,0.016116,0.020077,6.363765252715912,9.116165499283092e-05
14,638.104449,54.633975,0.999949,0.046930,0.056674,6.386970679143175,0.00011718845027888763
15,675.525498,59.056359,0.999964,0.034676,0.047636,6.347911822653528,9.655843519786386e-05
16,670.368392,31.394446,0.999974,0.034753,0.040650,6.352153603378221,9.192926683192752e-05
17,662.736188,119.277375,0.999884,0.053492,0.085109,6.367303346733549,0.00012548350702279245
18,653.239741,106.827823,0.999900,0.068499,0.079093,6.3300845259339065,9.926916823241666e-05
19,645.186512,40.307135,0.999973,0.030740,0.041086,6.364903492666596,9.453827806557673e-05
20,647.999890,72.132866,0.999966,0.041254,0.046151,6.336077630424974,9.071690521923573e-05
21,641.091223,56.220834,0.999956,0.037953,0.052211,6.369917383395618,0.00010116068600843813
22,646.279066,133.704215,0.999912,0.057597,0.074282,6.379538307154356,0.00012024820737102047
23,639.142356,54.549736,0.999954,0.043417,0.053426,6.387317516246245,0.00011290943360760518
24,699.460715,16.490886,0.999989,0.018465,0.025708,6.365531235749449,9.502919748917942e-05
25,668.946896,46.438078,0.999973,0.035195,0.041070,6.348268952832293,9.119768139688817e-05
26,633.277308,66.976046,0.999949,0.048386,0.056571,6.3409795453180715,9.015248684740236e-05
27,620.648956,18.642893,0.999992,0.016200,0.021923,6.356866103677607,9.13164623193552e-05
28,622.624608,79.267731,0.999945,0.052029,0.058805,6.338349340448332,9.670663887995196e-05
29,626.274112,32.062214,0.999947,0.045597,0.057460,6.379822739012798,0.00010984359477374506
30,624.121268,22.097608,0.999984,0.026845,0.031875,6.390881844847949,0.00010194532569653008
31,641.962103,35.745346,0.999979,0.027016,0.035861,6.389480530290461,0.00010228927977964507
32,668.138653,51.616518,0.999958,0.040961,0.050972,6.355070271966469,0.0001031002032169766
33,656.800465,51.656345,0.999972,0.032041,0.041924,6.36122842193243,9.687654449421576e-05
34,643.926600,26.006935,0.999979,0.031409,0.036025,6.355179883022214,9.921504044568656e-05
35,640.676505,33.420324,0.999971,0.032909,0.042384,6.36686831524123,9.101901754568087e-05
36,619.032313,70.937081,0.999920,0.050258,0.070912,6.370377736020444,0.00011016895074842964
37,617.143612,44.746742,0.999968,0.034425,0.044558,6.390011946585641,0.00010575420992191579
38,626.101746,61.948936,0.999951,0.040487,0.055415,6.3893321380093315,0.000108743630249836
39,659.025259,13.324163,0.999994,0.015268,0.019716,6.3794354389911865,9.5801071069788e-05
40,646.389869,74.581361,0.999936,0.050730,0.063065,6.341375368863196,0.00010424432803119998
41,621.101412,93.544408,0.999936,0.054113,0.063166,6.402105777489012,0.00011994188159229425
42,635.039460,33.078716,0.999974,0.035865,0.040179,6.345984610989318,8.713425649460336e-05
43,630.532902,112.653563,0.999926,0.052552,0.067958,6.387373437632376,0.00012286572920395462
44,610.696229,34.734450,0.999966,0.036530,0.046014,6.3558393219572995,9.770466780550965e-05
45,619.006773,22.810086,0.999986,0.024897,0.029479,6.385381576457426,9.86419925807376e-05
46,655.175487,6.181497,0.999995,0.011736,0.016987,6.371910771766113,8.886282628606154e-05
47,637.856089,32.540169,0.999976,0.032023,0.038755,6.353645418651069,9.399498888148913e-05
48,648.279947,36.963113,0.999975,0.024024,0.039259,6.353409047257247,9.739191977409158e-05
49,621.859247,31.153862,0.999978,0.027700,0.036769,6.365711548494463,9.770386854421277e-05
50,615.357304,16.915392,0.999977,0.026676,0.037915,6.370923870357115,9.86341278984898e-05
